target_time_utc,observed,prediction,q10,q90
2016-08-31T22:00:00.000Z,3,5,,
2016-09-01T23:00:00.000Z,19,5,,
2016-09-03T00:00:00.000Z,17,13,,
2016-09-04T01:00:00.000Z,135,8,,
2016-09-05T02:00:00.000Z,45,24,,
2016-09-14T11:00:00.000Z,69,28,,
2016-09-15T12:00:00.000Z,122,24,,
2016-09-16T13:00:00.000Z,67,25,,
2016-09-17T14:00:00.000Z,27,29,,
2016-09-18T15:00:00.000Z,14,39,,
2016-09-19T16:00:00.000Z,24,50,,
2016-09-20T17:00:00.000Z,46,88,,
2016-09-21T18:00:00.000Z,113,37,,
2016-09-22T19:00:00.000Z,36,95,,
2016-09-24T21:00:00.000Z,195,23,,
2016-09-25T22:00:00.000Z,27,7,,
2016-09-26T23:00:00.000Z,4,17,,
2016-09-28T00:00:00.000Z,13,49,,
2016-09-29T01:00:00.000Z,36,100,,
2016-09-30T02:00:00.000Z,99,128,,
2016-10-01T03:00:00.000Z,184,63,,
2016-10-02T04:00:00.000Z,221,118,,
2016-10-03T05:00:00.000Z,158,39,,
2016-10-04T06:00:00.000Z,32,3,,
2016-10-05T07:00:00.000Z,54,8,,
2016-10-06T08:00:00.000Z,64,60,,
2016-10-07T09:00:00.000Z,41,106,,
2016-10-08T10:00:00.000Z,10,157,,
2016-10-09T11:00:00.000Z,34,145,,
2016-10-10T12:00:00.000Z,122,75,,
2016-10-11T13:00:00.000Z,87,34,,
2016-10-14T16:00:00.000Z,264,3,,
2016-10-16T18:00:00.000Z,118,51,,
2016-10-17T19:00:00.000Z,94,113,,
2016-10-18T20:00:00.000Z,235,41,,
2016-10-19T21:00:00.000Z,246,93,,
2016-10-20T22:00:00.000Z,39,177,,
2016-10-21T23:00:00.000Z,9,175,,
2016-10-23T00:00:00.000Z,16,103,,
2016-10-24T01:00:00.000Z,26,53,,
2016-10-25T02:00:00.000Z,83,87,,
2016-10-26T03:00:00.000Z,9,219,,
2016-10-27T04:00:00.000Z,44,34,,
2016-10-28T05:00:00.000Z,3,52,,
2016-10-29T06:00:00.000Z,21,11,,
