station,model,history_hours,horizon,train_seconds,inference_seconds,local_fit_samples,donor_fit_samples,fitted_leaves,reused,n_origins,device
Aotizhongxin,Persistence,24,1,0.0,1.4899997040629389e-05,0,0,0,False,140,cpu
Aotizhongxin,Persistence,72,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,168,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,720,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,2160,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,24,1,0.0,2.2799998987466097e-05,0,0,0,False,140,cpu
Aotizhongxin,Seasonal day,72,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,168,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,720,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,2160,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal week,168,1,0.0,9.000010322779417e-06,0,0,0,False,140,cpu
Aotizhongxin,Seasonal week,720,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal week,2160,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,LightGBM calendar,0,1,0.2126288999861572,0.0029233999957796,0,94590,6200,False,140,cpu
Aotizhongxin,LightGBM global,24,1,0.679347900004359,0.0017170000064652,0,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global+local,24,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global,72,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,72,1,0.8063243999786209,0.0015857999969739,35,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global,168,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,168,1,0.7984912999963854,0.00151219998952,131,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global,720,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,720,1,0.8282416999863926,0.0029908000142313,619,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global,2160,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,2160,1,0.9262051999976392,0.0015979000017978,1733,83686,6200,False,140,cpu
Aotizhongxin,Persistence,24,6,0.0,6.039999425411224e-05,0,0,0,False,140,cpu
Aotizhongxin,Persistence,72,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,168,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,720,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,2160,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,24,6,0.0,2.129998756572604e-05,0,0,0,False,140,cpu
Aotizhongxin,Seasonal day,72,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,168,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,720,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,2160,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal week,168,6,0.0,1.2500007869675756e-05,0,0,0,False,140,cpu
Aotizhongxin,Seasonal week,720,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal week,2160,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,LightGBM calendar,0,6,0.2422031000023707,0.0017291999829467,0,94573,6200,False,140,cpu
Aotizhongxin,LightGBM global,24,6,0.8180269000004046,0.0024407999881077,0,83204,6200,False,140,cpu
Aotizhongxin,LightGBM global+local,24,6,0.0,0.0,0,83204,6200,True,140,cpu
Aotizhongxin,LightGBM global,72,6,0.0,0.0,0,83204,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,72,6,0.7948602999967989,0.0027552999963518,35,83204,6200,False,140,cpu
Aotizhongxin,LightGBM global,168,6,0.0,0.0,0,83204,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,168,6,0.9443558999919331,0.0015721999807283,131,83204,6200,False,140,cpu
