station,rows,observed_pm25,pm25_missing_pct,longest_pm25_gap_hours,duplicate_keys,hourly_discontinuities,first,last,pm25_min,pm25_median,pm25_p90,pm25_p99,pm25_max
Aotizhongxin,35064,34139,2.63803331051791,343,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,3.0,58.0,188.0,377.0,898.0
Changping,35064,34290,2.2073921971252566,167,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,2.0,46.0,168.0,322.0,882.0
Dingling,35064,34285,2.22165183664157,72,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,3.0,41.0,161.0,331.1599999999962,881.0
Dongsi,35064,34314,2.138945927446954,58,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,3.0,61.0,201.0,396.0,737.0
Guanyuan,35064,34448,1.756787588409765,71,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,2.0,59.0,187.29999999999927,377.0,680.0
Gucheng,35064,34418,1.842345425507643,54,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,2.0,60.0,190.0,381.0,770.0
Huairou,35064,34111,2.717887291809263,208,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,2.0,47.0,164.0,321.0,762.0
Nongzhanguan,35064,34436,1.791010723248916,56,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,2.0,59.0,197.0,394.0,844.0
Shunyi,35064,34151,2.603810175678759,197,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,2.0,55.0,184.0,373.5,941.0
Tiantan,35064,34387,1.930755190508784,24,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,3.0,59.0,189.0,369.0,821.0
Wanliu,35064,34682,1.0894364590463153,23,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,2.0,59.0,191.0,376.0,957.0
Wanshouxigong,35064,34368,1.9849418206707734,43,0,0,2013-03-01 00:00:00+08:00,2017-02-28 23:00:00+08:00,3.0,60.0,195.0,397.33000000000175,999.0
