model,horizon,threshold_hours,mature_mae
Chronos-2,1,72,11.20112595402806
Chronos-2,6,168,37.30708645101179
Chronos-2,24,168,61.82613799685524
LightGBM global,1,24,11.677932811863894
LightGBM global,6,24,37.2532884746018
LightGBM global,24,24,62.32636912213732
LightGBM global+local,1,24,11.730612914414234
LightGBM global+local,6,24,37.013062787746215
LightGBM global+local,24,24,62.17046081859355
Persistence,1,24,11.75
Persistence,6,24,39.29887218045113
Persistence,24,24,76.43671679197995
Seasonal day,1,24,79.99937343358395
Seasonal day,6,24,81.58959899749374
Seasonal day,24,24,76.43671679197995
Seasonal week,1,168,102.41854636591479
Seasonal week,6,168,96.18170426065163
Seasonal week,24,168,102.531328320802
