station,variable,count,fraction
Aotizhongxin,PM2.5,925,0.0263803331051791
Aotizhongxin,PM10,718,0.020476842345425506
Aotizhongxin,SO2,935,0.026665525895505363
Aotizhongxin,NO2,1023,0.029175222450376456
Aotizhongxin,CO,1776,0.05065023956194387
Aotizhongxin,O3,1719,0.04902464065708419
Aotizhongxin,TEMP,20,0.0005703855806525211
Aotizhongxin,PRES,20,0.0005703855806525211
Aotizhongxin,DEWP,20,0.0005703855806525211
Aotizhongxin,RAIN,20,0.0005703855806525211
Aotizhongxin,wd,81,0.0023100616016427105
Aotizhongxin,WSPM,14,0.0003992699064567648
Changping,PM2.5,774,0.022073921971252568
Changping,PM10,582,0.016598220396988363
Changping,SO2,628,0.01791010723248916
Changping,NO2,667,0.019022359114761578
Changping,CO,1521,0.04337782340862423
Changping,O3,604,0.017225644535706137
Changping,TEMP,53,0.001511521788729181
Changping,PRES,50,0.0014259639516313028
Changping,DEWP,53,0.001511521788729181
Changping,RAIN,51,0.0014544832306639288
Changping,wd,140,0.003992699064567648
Changping,WSPM,43,0.0012263289984029203
Dingling,PM2.5,779,0.022216518366415697
Dingling,PM10,656,0.018708647045402694
Dingling,SO2,730,0.02081907369381702
Dingling,NO2,1234,0.035192790326260555
Dingling,CO,2012,0.05738078941364362
Dingling,O3,1214,0.03462240474560803
Dingling,TEMP,53,0.001511521788729181
Dingling,PRES,50,0.0014259639516313028
Dingling,DEWP,53,0.001511521788729181
Dingling,RAIN,51,0.0014544832306639288
Dingling,wd,140,0.003992699064567648
Dingling,WSPM,43,0.0012263289984029203
Dongsi,PM2.5,750,0.02138945927446954
Dongsi,PM10,553,0.01577116130504221
Dongsi,SO2,663,0.018908281998631076
Dongsi,NO2,1601,0.045659365731234317
Dongsi,CO,3197,0.0911761350673055
Dongsi,O3,664,0.0189368012776637
Dongsi,TEMP,20,0.0005703855806525211
Dongsi,PRES,20,0.0005703855806525211
Dongsi,DEWP,20,0.0005703855806525211
Dongsi,RAIN,20,0.0005703855806525211
Dongsi,wd,78,0.0022245037645448325
Dongsi,WSPM,14,0.0003992699064567648
Guanyuan,PM2.5,616,0.01756787588409765
Guanyuan,PM10,429,0.012234770704996577
Guanyuan,SO2,474,0.01351813826146475
Guanyuan,NO2,659,0.01879420488250057
Guanyuan,CO,1753,0.04999429614419348
Guanyuan,O3,1173,0.033453114305270364
Guanyuan,TEMP,20,0.0005703855806525211
Guanyuan,PRES,20,0.0005703855806525211
Guanyuan,DEWP,20,0.0005703855806525211
Guanyuan,RAIN,20,0.0005703855806525211
Guanyuan,wd,81,0.0023100616016427105
Guanyuan,WSPM,14,0.0003992699064567648
Gucheng,PM2.5,646,0.01842345425507643
Gucheng,PM10,381,0.010865845311430526
Gucheng,SO2,507,0.01445927446954141
Gucheng,NO2,668,0.019050878393794206
Gucheng,CO,1401,0.0399555099247091
Gucheng,O3,729,0.020790554414784394
Gucheng,TEMP,51,0.0014544832306639288
Gucheng,PRES,50,0.0014259639516313028
Gucheng,DEWP,51,0.0014544832306639288
Gucheng,RAIN,43,0.0012263289984029203
Gucheng,wd,159,0.004534565366187543
Gucheng,WSPM,42,0.0011978097193702942
Huairou,PM2.5,953,0.02717887291809263
Huairou,PM10,777,0.022159479808350445
Huairou,SO2,980,0.027948893451973534
Huairou,NO2,1639,0.046743098334474105
Huairou,CO,1422,0.04055441478439425
Huairou,O3,1151,0.03282569016655259
Huairou,TEMP,51,0.0014544832306639288
Huairou,PRES,53,0.001511521788729181
Huairou,DEWP,53,0.001511521788729181
Huairou,RAIN,55,0.001568560346794433
Huairou,wd,302,0.008612822267853069
Huairou,WSPM,49,0.0013974446725986767
Nongzhanguan,PM2.5,628,0.01791010723248916
Nongzhanguan,PM10,440,0.012548482774355465
Nongzhanguan,SO2,446,0.01271959844855122
Nongzhanguan,NO2,692,0.01973534109057723
Nongzhanguan,CO,1206,0.034394250513347026
Nongzhanguan,O3,506,0.014430755190508784
Nongzhanguan,TEMP,20,0.0005703855806525211
Nongzhanguan,PRES,20,0.0005703855806525211
Nongzhanguan,DEWP,20,0.0005703855806525211
Nongzhanguan,RAIN,20,0.0005703855806525211
Nongzhanguan,wd,78,0.0022245037645448325
Nongzhanguan,WSPM,14,0.0003992699064567648
Shunyi,PM2.5,913,0.02603810175678759
Shunyi,PM10,548,0.01562856490987908
Shunyi,SO2,1296,0.03696098562628337
Shunyi,NO2,1365,0.03892881587953457
Shunyi,CO,2178,0.062114989733059546
Shunyi,O3,1489,0.04246520647958019
Shunyi,TEMP,51,0.0014544832306639288
Shunyi,PRES,51,0.0014544832306639288
Shunyi,DEWP,54,0.001540041067761807
Shunyi,RAIN,51,0.0014544832306639288
Shunyi,wd,483,0.013774811772758385
Shunyi,WSPM,44,0.0012548482774355464
Tiantan,PM2.5,677,0.01930755190508784
Tiantan,PM10,597,0.017026009582477755
Tiantan,SO2,1118,0.03188455395847593
Tiantan,NO2,744,0.021218343600273786
Tiantan,CO,1126,0.03211270819073694
Tiantan,O3,843,0.024041752224503766
Tiantan,TEMP,20,0.0005703855806525211
Tiantan,PRES,20,0.0005703855806525211
Tiantan,DEWP,20,0.0005703855806525211
Tiantan,RAIN,20,0.0005703855806525211
Tiantan,wd,78,0.0022245037645448325
Tiantan,WSPM,14,0.0003992699064567648
Wanliu,PM2.5,382,0.010894364590463152
Wanliu,PM10,284,0.008099475245265799
Wanliu,SO2,575,0.01639858544375998
Wanliu,NO2,1070,0.03051562856490988
Wanliu,CO,1812,0.05167693360711841
Wanliu,O3,2107,0.060090120921743095
Wanliu,TEMP,20,0.0005703855806525211
Wanliu,PRES,20,0.0005703855806525211
Wanliu,DEWP,20,0.0005703855806525211
Wanliu,RAIN,20,0.0005703855806525211
Wanliu,wd,123,0.003507871321013005
Wanliu,WSPM,14,0.0003992699064567648
Wanshouxigong,PM2.5,696,0.019849418206707735
Wanshouxigong,PM10,484,0.013803331051791011
Wanshouxigong,SO2,669,0.01907939767282683
Wanshouxigong,NO2,754,0.021503536390600046
Wanshouxigong,CO,1297,0.036989504905315995
Wanshouxigong,O3,1078,0.03074378279717089
Wanshouxigong,TEMP,19,0.0005418663016198951
Wanshouxigong,PRES,19,0.0005418663016198951
Wanshouxigong,DEWP,19,0.0005418663016198951
Wanshouxigong,RAIN,19,0.0005418663016198951
Wanshouxigong,wd,79,0.0022530230435774583
Wanshouxigong,WSPM,13,0.0003707506274241387
