station,index,origin,eligible,targets_observed,recent_day_complete,week_sources_observed,coverage_72,coverage_168,coverage_720,coverage_2160
Aotizhongxin,30720,2016-09-01 00:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,30745,2016-09-02 01:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,30770,2016-09-03 02:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,30795,2016-09-04 03:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,30820,2016-09-05 04:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,30845,2016-09-06 05:00:00+08:00,False,False,True,True,True,True,True,True
Aotizhongxin,30870,2016-09-07 06:00:00+08:00,False,False,False,True,False,True,True,True
Aotizhongxin,30895,2016-09-08 07:00:00+08:00,False,True,False,True,False,False,True,True
Aotizhongxin,30920,2016-09-09 08:00:00+08:00,False,True,True,True,False,False,True,True
Aotizhongxin,30945,2016-09-10 09:00:00+08:00,False,True,True,True,True,False,True,True
Aotizhongxin,30970,2016-09-11 10:00:00+08:00,False,True,True,True,True,False,True,True
Aotizhongxin,30995,2016-09-12 11:00:00+08:00,False,True,True,True,True,False,True,True
Aotizhongxin,31020,2016-09-13 12:00:00+08:00,False,True,True,False,True,False,True,True
Aotizhongxin,31045,2016-09-14 13:00:00+08:00,False,True,True,False,True,True,True,True
Aotizhongxin,31070,2016-09-15 14:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31095,2016-09-16 15:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31120,2016-09-17 16:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31145,2016-09-18 17:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31170,2016-09-19 18:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31195,2016-09-20 19:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31220,2016-09-21 20:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31245,2016-09-22 21:00:00+08:00,False,False,True,True,True,True,True,True
Aotizhongxin,31270,2016-09-23 22:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,31295,2016-09-24 23:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31320,2016-09-26 00:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31345,2016-09-27 01:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31370,2016-09-28 02:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,31395,2016-09-29 03:00:00+08:00,False,True,False,False,True,True,True,True
Aotizhongxin,31420,2016-09-30 04:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31445,2016-10-01 05:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31470,2016-10-02 06:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31495,2016-10-03 07:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31520,2016-10-04 08:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31545,2016-10-05 09:00:00+08:00,False,True,True,False,True,True,True,True
Aotizhongxin,31570,2016-10-06 10:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31595,2016-10-07 11:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31620,2016-10-08 12:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31645,2016-10-09 13:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31670,2016-10-10 14:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,31695,2016-10-11 15:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31720,2016-10-12 16:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31745,2016-10-13 17:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31770,2016-10-14 18:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31795,2016-10-15 19:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,31820,2016-10-16 20:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31845,2016-10-17 21:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,31870,2016-10-18 22:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31895,2016-10-19 23:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31920,2016-10-21 00:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31945,2016-10-22 01:00:00+08:00,False,True,True,False,True,True,True,True
Aotizhongxin,31970,2016-10-23 02:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,31995,2016-10-24 03:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32020,2016-10-25 04:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32045,2016-10-26 05:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32070,2016-10-27 06:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32095,2016-10-28 07:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32120,2016-10-29 08:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32145,2016-10-30 09:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32170,2016-10-31 10:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32195,2016-11-01 11:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32220,2016-11-02 12:00:00+08:00,False,False,True,True,True,True,True,True
Aotizhongxin,32245,2016-11-03 13:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,32270,2016-11-04 14:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32295,2016-11-05 15:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32320,2016-11-06 16:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32345,2016-11-07 17:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32370,2016-11-08 18:00:00+08:00,False,False,True,False,True,True,True,True
Aotizhongxin,32395,2016-11-09 19:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,32420,2016-11-10 20:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32445,2016-11-11 21:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32470,2016-11-12 22:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32495,2016-11-13 23:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32520,2016-11-15 00:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32545,2016-11-16 01:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32570,2016-11-17 02:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32595,2016-11-18 03:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32620,2016-11-19 04:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32645,2016-11-20 05:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32670,2016-11-21 06:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32695,2016-11-22 07:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32720,2016-11-23 08:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32745,2016-11-24 09:00:00+08:00,False,False,True,True,True,True,True,True
Aotizhongxin,32770,2016-11-25 10:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,32795,2016-11-26 11:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32820,2016-11-27 12:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32845,2016-11-28 13:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32870,2016-11-29 14:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32895,2016-11-30 15:00:00+08:00,False,True,True,False,True,True,True,True
Aotizhongxin,32920,2016-12-01 16:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32945,2016-12-02 17:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32970,2016-12-03 18:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,32995,2016-12-04 19:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33020,2016-12-05 20:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33045,2016-12-06 21:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33070,2016-12-07 22:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33095,2016-12-08 23:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33120,2016-12-10 00:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33145,2016-12-11 01:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33170,2016-12-12 02:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33195,2016-12-13 03:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33220,2016-12-14 04:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33245,2016-12-15 05:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33270,2016-12-16 06:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33295,2016-12-17 07:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33320,2016-12-18 08:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33345,2016-12-19 09:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33370,2016-12-20 10:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33395,2016-12-21 11:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33420,2016-12-22 12:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33445,2016-12-23 13:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33470,2016-12-24 14:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33495,2016-12-25 15:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33520,2016-12-26 16:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33545,2016-12-27 17:00:00+08:00,False,False,True,True,True,True,True,True
Aotizhongxin,33570,2016-12-28 18:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33595,2016-12-29 19:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33620,2016-12-30 20:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33645,2016-12-31 21:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33670,2017-01-01 22:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33695,2017-01-02 23:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33720,2017-01-04 00:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33745,2017-01-05 01:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33770,2017-01-06 02:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33795,2017-01-07 03:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33820,2017-01-08 04:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33845,2017-01-09 05:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33870,2017-01-10 06:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33895,2017-01-11 07:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33920,2017-01-12 08:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33945,2017-01-13 09:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33970,2017-01-14 10:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,33995,2017-01-15 11:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34020,2017-01-16 12:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34045,2017-01-17 13:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34070,2017-01-18 14:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34095,2017-01-19 15:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34120,2017-01-20 16:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34145,2017-01-21 17:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34170,2017-01-22 18:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34195,2017-01-23 19:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34220,2017-01-24 20:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34245,2017-01-25 21:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,34270,2017-01-26 22:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34295,2017-01-27 23:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34320,2017-01-29 00:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34345,2017-01-30 01:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34370,2017-01-31 02:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34395,2017-02-01 03:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34420,2017-02-02 04:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34445,2017-02-03 05:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34470,2017-02-04 06:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34495,2017-02-05 07:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34520,2017-02-06 08:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34545,2017-02-07 09:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34570,2017-02-08 10:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34595,2017-02-09 11:00:00+08:00,False,True,False,True,True,True,True,True
Aotizhongxin,34620,2017-02-10 12:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34645,2017-02-11 13:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34670,2017-02-12 14:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34695,2017-02-13 15:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34720,2017-02-14 16:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34745,2017-02-15 17:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34770,2017-02-16 18:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34795,2017-02-17 19:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34820,2017-02-18 20:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34845,2017-02-19 21:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34870,2017-02-20 22:00:00+08:00,False,False,False,True,True,True,True,True
Aotizhongxin,34895,2017-02-21 23:00:00+08:00,False,True,False,True,False,True,True,True
Aotizhongxin,34920,2017-02-23 00:00:00+08:00,False,True,True,True,False,True,True,True
Aotizhongxin,34945,2017-02-24 01:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34970,2017-02-25 02:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,34995,2017-02-26 03:00:00+08:00,True,True,True,True,True,True,True,True
Aotizhongxin,35020,2017-02-27 04:00:00+08:00,False,True,True,False,True,True,True,True
Changping,30720,2016-09-01 00:00:00+08:00,True,True,True,True,True,True,True,True
Changping,30745,2016-09-02 01:00:00+08:00,False,True,False,True,True,True,True,True
Changping,30770,2016-09-03 02:00:00+08:00,True,True,True,True,True,True,True,True
Changping,30795,2016-09-04 03:00:00+08:00,True,True,True,True,True,True,True,True
Changping,30820,2016-09-05 04:00:00+08:00,True,True,True,True,True,True,True,True
Changping,30845,2016-09-06 05:00:00+08:00,False,False,True,True,True,True,True,True
Changping,30870,2016-09-07 06:00:00+08:00,False,False,False,True,False,True,True,True
Changping,30895,2016-09-08 07:00:00+08:00,False,True,False,True,False,False,True,True
Changping,30920,2016-09-09 08:00:00+08:00,False,True,True,True,False,False,True,True
Changping,30945,2016-09-10 09:00:00+08:00,False,True,True,True,True,False,True,True
Changping,30970,2016-09-11 10:00:00+08:00,False,True,True,True,True,False,True,True
Changping,30995,2016-09-12 11:00:00+08:00,False,True,True,True,True,False,True,True
Changping,31020,2016-09-13 12:00:00+08:00,False,True,True,False,True,False,True,True
Changping,31045,2016-09-14 13:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31070,2016-09-15 14:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31095,2016-09-16 15:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31120,2016-09-17 16:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31145,2016-09-18 17:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31170,2016-09-19 18:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31195,2016-09-20 19:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31220,2016-09-21 20:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31245,2016-09-22 21:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31270,2016-09-23 22:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31295,2016-09-24 23:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31320,2016-09-26 00:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31345,2016-09-27 01:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31370,2016-09-28 02:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31395,2016-09-29 03:00:00+08:00,False,True,False,True,True,True,True,True
Changping,31420,2016-09-30 04:00:00+08:00,False,True,False,True,True,True,True,True
Changping,31445,2016-10-01 05:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31470,2016-10-02 06:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31495,2016-10-03 07:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31520,2016-10-04 08:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31545,2016-10-05 09:00:00+08:00,False,True,True,False,True,True,True,True
Changping,31570,2016-10-06 10:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31595,2016-10-07 11:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31620,2016-10-08 12:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31645,2016-10-09 13:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31670,2016-10-10 14:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31695,2016-10-11 15:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31720,2016-10-12 16:00:00+08:00,False,True,False,True,True,True,True,True
Changping,31745,2016-10-13 17:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31770,2016-10-14 18:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31795,2016-10-15 19:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31820,2016-10-16 20:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31845,2016-10-17 21:00:00+08:00,True,True,True,True,True,True,True,True
Changping,31870,2016-10-18 22:00:00+08:00,False,True,False,True,True,True,True,True
