station,model,history_hours,horizon,train_seconds,inference_seconds,local_fit_samples,donor_fit_samples,fitted_leaves,reused,n_origins,device
Aotizhongxin,Persistence,24,1,0.0,1.4899997040629387e-05,0,0,0,False,140,cpu
Aotizhongxin,Persistence,72,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,168,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,720,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,2160,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,24,1,0.0,2.2799998987466097e-05,0,0,0,False,140,cpu
Aotizhongxin,Seasonal day,72,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,168,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,720,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal day,2160,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal week,168,1,0.0,9.000010322779417e-06,0,0,0,False,140,cpu
Aotizhongxin,Seasonal week,720,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Seasonal week,2160,1,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,LightGBM calendar,0,1,0.2126288999861572,0.0029233999957796186,0,94590,6200,False,140,cpu
Aotizhongxin,LightGBM global,24,1,0.679347900004359,0.0017170000064652413,0,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global+local,24,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global,72,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,72,1,0.8063243999786209,0.0015857999969739467,35,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global,168,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,168,1,0.7984912999963854,0.0015121999895200133,131,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global,720,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,720,1,0.8282416999863926,0.002990800014231354,619,83686,6200,False,140,cpu
Aotizhongxin,LightGBM global,2160,1,0.0,0.0,0,83686,6200,True,140,cpu
Aotizhongxin,LightGBM global+local,2160,1,0.9262051999976393,0.001597900001797825,1733,83686,6200,False,140,cpu
Aotizhongxin,Persistence,24,6,0.0,6.0399994254112244e-05,0,0,0,False,140,cpu
Aotizhongxin,Persistence,72,6,0.0,0.0,0,0,0,True,140,cpu
Aotizhongxin,Persistence,168,6,0.0,0.0,0,0,0,True,140,cpu
