station,index,origin,eligible,targets_observed,recent_day_complete,week_sources_observed,coverage_72,coverage_168,coverage_720,coverage_2160
Gucheng,30720,2016-09-01 00:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,30745,2016-09-02 01:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,30770,2016-09-03 02:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,30795,2016-09-04 03:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,30820,2016-09-05 04:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,30845,2016-09-06 05:00:00+08:00,False,False,False,True,True,True,True,True
Gucheng,30870,2016-09-07 06:00:00+08:00,False,False,False,True,False,True,True,True
Gucheng,30895,2016-09-08 07:00:00+08:00,False,True,False,True,False,False,True,True
Gucheng,30920,2016-09-09 08:00:00+08:00,False,True,True,True,False,False,True,True
Gucheng,30945,2016-09-10 09:00:00+08:00,False,True,True,True,True,False,True,True
Gucheng,30970,2016-09-11 10:00:00+08:00,False,True,True,True,True,False,True,True
Gucheng,30995,2016-09-12 11:00:00+08:00,False,True,True,False,True,False,True,True
Gucheng,31020,2016-09-13 12:00:00+08:00,False,True,True,False,True,False,True,True
Gucheng,31045,2016-09-14 13:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31070,2016-09-15 14:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31095,2016-09-16 15:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31120,2016-09-17 16:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31145,2016-09-18 17:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31170,2016-09-19 18:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31195,2016-09-20 19:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31220,2016-09-21 20:00:00+08:00,False,True,False,True,True,True,True,True
Gucheng,31245,2016-09-22 21:00:00+08:00,False,False,False,True,True,True,True,True
Gucheng,31270,2016-09-23 22:00:00+08:00,False,True,False,True,False,True,True,True
Gucheng,31295,2016-09-24 23:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31320,2016-09-26 00:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31345,2016-09-27 01:00:00+08:00,False,True,False,True,True,True,True,True
Gucheng,31370,2016-09-28 02:00:00+08:00,False,True,True,False,True,True,True,True
Gucheng,31395,2016-09-29 03:00:00+08:00,False,False,False,False,True,True,True,True
Gucheng,31420,2016-09-30 04:00:00+08:00,False,False,False,True,False,True,True,True
Gucheng,31445,2016-10-01 05:00:00+08:00,False,True,False,True,False,False,True,True
Gucheng,31470,2016-10-02 06:00:00+08:00,False,True,True,True,False,False,True,True
Gucheng,31495,2016-10-03 07:00:00+08:00,False,True,True,True,True,False,True,True
Gucheng,31520,2016-10-04 08:00:00+08:00,False,True,True,True,True,False,True,True
Gucheng,31545,2016-10-05 09:00:00+08:00,False,True,True,True,True,False,True,True
Gucheng,31570,2016-10-06 10:00:00+08:00,False,True,True,False,True,False,True,True
Gucheng,31595,2016-10-07 11:00:00+08:00,False,True,True,False,True,True,True,True
Gucheng,31620,2016-10-08 12:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31645,2016-10-09 13:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31670,2016-10-10 14:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31695,2016-10-11 15:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31720,2016-10-12 16:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31745,2016-10-13 17:00:00+08:00,False,True,False,True,True,True,True,True
Gucheng,31770,2016-10-14 18:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31795,2016-10-15 19:00:00+08:00,False,True,False,True,True,True,True,True
Gucheng,31820,2016-10-16 20:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31845,2016-10-17 21:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31870,2016-10-18 22:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31895,2016-10-19 23:00:00+08:00,False,True,False,True,True,True,True,True
Gucheng,31920,2016-10-21 00:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31945,2016-10-22 01:00:00+08:00,False,True,True,False,True,True,True,True
Gucheng,31970,2016-10-23 02:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,31995,2016-10-24 03:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,32020,2016-10-25 04:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,32045,2016-10-26 05:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,32070,2016-10-27 06:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,32095,2016-10-28 07:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,32120,2016-10-29 08:00:00+08:00,True,True,True,True,True,True,True,True
Gucheng,32145,2016-10-30 09:00:00+08:00,True,True,True,True,True,True,True,True
