station,model,history_hours,horizon,train_seconds,inference_seconds,local_fit_samples,donor_fit_samples,fitted_leaves,reused,n_origins,device
Wanliu,Persistence,24,1,0.0,1.3499986380338669e-05,0,0,0,False,147,cpu
Wanliu,Persistence,72,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Persistence,168,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Persistence,720,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Persistence,2160,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,24,1,0.0,1.479999627918005e-05,0,0,0,False,147,cpu
Wanliu,Seasonal day,72,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,168,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,720,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,2160,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal week,168,1,0.0,2.3800006601959467e-05,0,0,0,False,147,cpu
Wanliu,Seasonal week,720,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal week,2160,1,0.0,0.0,0,0,0,True,147,cpu
Wanliu,LightGBM calendar,0,1,0.22960580000653863,0.001558799995109439,0,94426,6200,False,147,cpu
Wanliu,LightGBM global,24,1,0.6536826000083238,0.0016093000012915581,0,83378,6200,False,147,cpu
Wanliu,LightGBM global+local,24,1,0.0,0.0,0,83378,6200,True,147,cpu
Wanliu,LightGBM global,72,1,0.0,0.0,0,83378,6200,True,147,cpu
Wanliu,LightGBM global+local,72,1,0.7052509000059217,0.00142830002005212,23,83378,6200,False,147,cpu
Wanliu,LightGBM global,168,1,0.0,0.0,0,83378,6200,True,147,cpu
Wanliu,LightGBM global+local,168,1,0.6687931000196841,0.0014802000077906996,119,83378,6200,False,147,cpu
Wanliu,LightGBM global,720,1,0.0,0.0,0,83378,6200,True,147,cpu
Wanliu,LightGBM global+local,720,1,0.650652699987404,0.0020969999895896763,621,83378,6200,False,147,cpu
Wanliu,LightGBM global,2160,1,0.0,0.0,0,83378,6200,True,147,cpu
Wanliu,LightGBM global+local,2160,1,0.6373374999966472,0.001585599995451048,1895,83378,6200,False,147,cpu
Wanliu,Persistence,24,6,0.0,1.9099999917671084e-05,0,0,0,False,147,cpu
Wanliu,Persistence,72,6,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Persistence,168,6,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Persistence,720,6,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Persistence,2160,6,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,24,6,0.0,2.239999594166875e-05,0,0,0,False,147,cpu
Wanliu,Seasonal day,72,6,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,168,6,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,720,6,0.0,0.0,0,0,0,True,147,cpu
Wanliu,Seasonal day,2160,6,0.0,0.0,0,0,0,True,147,cpu
